Event,Start Date,Start Time,End Date,End Time,Location,Category,Description,Facility
"Men's Track and Field at NCAA Championships (Geneva, Ohio)","5/22/2025","TBA","5/24/2025","11:59 PM","","Men's Track and Field","Men's Track and Field at NCAA Championships (Geneva, Ohio) ",""
"Football vs Lake Forest College","9/6/2025","7:00PM","9/6/2025","10:00 PM","Hamilton (Ariz.) High School","Football","Football vs Lake Forest College Hamilton (Ariz.) High School",""
"Football at George Fox University","9/20/2025","1:00PM","9/20/2025","4:00 PM","Newberg, OR","Football","Football at George Fox University Newberg, OR",""
"Football at Pomona-Pitzer","9/27/2025","7:00PM","9/27/2025","10:00 PM","Claremont, CA","Football","Football at Pomona-Pitzer Claremont, CA",""
"Football at California Lutheran University","10/4/2025","7:00PM","10/4/2025","10:00 PM","Thousand Oaks, CA","Football","Football at California Lutheran University Thousand Oaks, CA",""
"Football vs University of Redlands","10/11/2025","1:00PM","10/11/2025","4:00 PM","","Football","Football vs University of Redlands ",""
"Football vs University of La Verne","10/18/2025","1:00PM","10/18/2025","4:00 PM","","Football","Football vs University of La Verne ",""
"Football at Chapman University","10/25/2025","7:00PM","10/25/2025","10:00 PM","Orange, CA","Football","Football at Chapman University Orange, CA",""
"Football vs California Lutheran University","11/1/2025","1:00PM","11/1/2025","4:00 PM","","Football","Football vs California Lutheran University ",""
"Football at University of Redlands","11/8/2025","7:00PM","11/8/2025","10:00 PM","Redlands, CA","Football","Football at University of Redlands Redlands, CA",""
"Football at TBA (SCIAC Championship Weekend)","11/15/2025","1:00PM","11/15/2025","4:00 PM","","Football","Football at TBA (SCIAC Championship Weekend) ",""
